,Title,Production company,Cast and crew,genres
0,Insidious: The Last Key,Universal Pictures / Blumhouse Productions / Stage 6 Films,"Adam Robitel (director); Leigh Whannell (screenplay); Lin Shaye, Angus Sampson, Leigh Whannell, Spencer Locke, Caitlin Gerard, Kirk Acevedo, Bruce Davison",Horror Mystery Thriller
1,The Strange Ones,Vertical Entertainment,"Lauren Wolkstein (director); Christopher Radcliff (co-director/screenplay); Alex Pettyfer, James Freedson-Jackson, Emily Althaus, Gene Jones, Owen Campbell, Tobias Campbell",Thriller Drama
2,Stratton,Momentum Pictures,"Simon West (director); Duncan Falconer, Warren Davis II (screenplay); Dominic Cooper, Austin Stowell, Gemma Chan, Thomas Kretschmann, Tyler Hoechlin, Tom Felton",Action Thriller
3,Sweet Country,Samuel Goldwyn Films,"Warwick Thornton (director); David Tranter, Steven McGregor (screenplay); Bryan Brown, Sam Neill",Drama History Western
4,The Commuter,Lionsgate / StudioCanal / The Picture Company,"Jaume Collet-Serra (director); Byron Willinger, Philip de Blasi (screenplay); Liam Neeson, Vera Farmiga, Patrick Wilson, Jonathan Banks, Elizabeth McGovern, Sam Neill",Action Thriller
5,Proud Mary,Screen Gems,"Babak Najafi (director); John S. Newman, Christian Swegal (screenplay); Taraji P. Henson, Billy Brown, Danny Glover, Neal McDonough, Xander Berkeley, Margaret Avery",Thriller Action Crime
6,Acts of Violence,Lionsgate Premiere,"Brett Donowho (director); Nicolas Aaron Mezzanatto (screenplay); Bruce Willis, Cole Hauser, Shawn Ashmore, Melissa Bolona, Mike Epps",Action
7,Freak Show,IFC Films,"Trudie Styler (director); Patrick J. Clifton, Beth Rigazio (screenplay); Alex Lawther, Abigail Breslin, Bette Midler, AnnaSophia Robb, Ian Nelson, Lorraine Toussaint, Laverne Cox",Comedy Drama
8,Humor Me,Shout! Factory / Shout! Studios,"Sam Hoffman (director/screenplay); Jemaine Clement, Elliott Gould, Ingrid Michaelson, Annie Potts, Priscilla Lopez, Bebe Neuwirth, Maria Dizzia",Comedy
9,Vazante,Music Box Films,"Daniela Thomas (director/screenplay); Beto Amaral (screenplay); Adriano Carvalho, Luana Nastas",Drama
10,Mary and the Witch's Flower,GKIDS,"Hiromasa Yonebayashi (director/screenplay); Riko Sakaguchi (screenplay); Ruby Barnhill, Louis Ashbourne Serkis, Kate Winslet, Jim Broadbent, Teresa Gallagher, Ewen Bremner, Rasmus Hardiker, Morwenna Banks, Lynda Baron",Fantasy Adventure Animation
11,12 Strong,Warner Bros. Pictures / Alcon Entertainment / Jerry Bruckheimer Films,"Nicolai Fuglsig (director); Peter Craig, Ted Tally (screenplay); Chris Hemsworth, Michael Shannon, Michael Peña, Navid Negahban, Trevante Rhodes, Geoff Stults, Thad Luckinbill, Rob Riggle, William Fichtner",War Drama Action History
12,Den of Thieves,STX Entertainment,"Christian Gudegast (director/screenplay); Paul Scheuring (screenplay); Gerard Butler, 50 Cent, Pablo Schreiber, O'Shea Jackson Jr., Evan Jones, Dawn Olivieri, Mo McRae, Max Holloway",Action Thriller Crime
13,Forever My Girl,Roadside Attractions,"Bethany Ashton Wolf (director/screenplay); Alex Roe, Jessica Rothe, John Benjamin Hickey",Romance Drama Music
